BSSID,Level,Room,Model,Time
9c:50:ee:3f:99:c1,-110,0,OPPO A57,2017/8/15 21:22
90:72:40:16:ca:00,-86,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:71:81,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:45:60,-110,0,OPPO A57,2017/8/15 21:22
6e:72:e7:3f:05:1e,-110,0,OPPO A57,2017/8/15 21:22
a4:56:02:f0:35:c3,-110,0,OPPO A57,2017/8/15 21:22
c2:9f:db:e9:97:7b,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:91:c1,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:61:20:a0,-110,0,OPPO A57,2017/8/15 21:22
0a:18:d6:95:93:1e,-110,0,OPPO A57,2017/8/15 21:22
d2:75:d5:80:84:cd,-110,0,OPPO A57,2017/8/15 21:22
bc:46:99:61:5b:78,-67,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:79:60,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:49:fb:a0,-110,0,OPPO A57,2017/8/15 21:22
a8:58:40:59:a8:40,-110,0,OPPO A57,2017/8/15 21:22
00:71:cc:2b:d0:7f,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:9e:61,-92,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:74:20,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:61:21:80,-90,0,OPPO A57,2017/8/15 21:22
c8:3a:35:49:60:44,-110,0,OPPO A57,2017/8/15 21:22
80:89:17:e8:e7:f8,-76,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:8b:20,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:9e:60,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:91:20,-62,0,OPPO A57,2017/8/15 21:22
b0:75:d5:80:5c:8c,-83,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:8f:e1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:90:a0,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:61:1f:80,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:43:01,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:30:c0,-110,0,OPPO A57,2017/8/15 21:22
a4:56:02:f0:35:c1,-110,0,OPPO A57,2017/8/15 21:22
b0:75:d5:5f:d4:3b,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:71:e1,-74,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:99:00,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:7e:60,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:8b:01,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:9e:e0,-65,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:91:e1,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:4b:eb:c1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:31:20,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:91:60,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:91:61,-92,0,OPPO A57,2017/8/15 21:22
12:18:d6:95:93:1e,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:95:a0,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:72:a0,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:61:20:81,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:73:20,-110,0,OPPO A57,2017/8/15 21:22
78:eb:14:e7:2a:82,-110,0,OPPO A57,2017/8/15 21:22
